"table_name","column_name","attribute","type","original_id","original_row"
"CAD_Geocodificacao","cpf","25.944.455/0001-96","text",29,"{""id"":29,""geom"":{""type"":""Point"",""coordinates"":[721356.7672680696,7703544.183036742]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":168,""unidade"":2,""inscricao"":""01.01.0003.0168.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","inscricao","01.01.0002.0199.002","text",65,"{""id"":65,""geom"":{""type"":""Point"",""coordinates"":[721514.5101063757,7703556.433985653]},""distrito"":1,""setor"":1,""quadra"":2,""lote"":199,""unidade"":2,""inscricao"":""01.01.0002.0199.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Edificacao","inscricao",".001","text",144,"{""id"":144,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721473.9801324863,7703820.236364837],[721475.2125671714,7703835.775758692],[721479.5722054554,7703835.429994277],[721479.6545726176,7703836.468536759],[721483.7277670773,7703836.145490303],[721483.6138569036,7703834.709231586],[721486.8991472278,7703834.448674079],[721486.5439169977,7703829.9696842],[721487.9188473533,7703829.860638],[721487.5282295337,7703824.935456781],[721486.2575941061,7703825.036231315],[721485.7780995534,7703818.990430442],[721479.1478431085,7703819.5162783675],[721478.966609138,7703817.231154395],[721474.3372362531,7703817.598311556],[721474.5557218503,7703820.353129951],[721473.9801324863,7703820.236364837]]]]},""inscricao"":"".001""}"
"CAD_Lote","inscricao_lote","01.01.0003.0367","text",40,"{""id"":40,""geom"":{""type"":""Polygon"",""coordinates"":[[[721274.2605373254,7703428.448194566],[721255.1122075748,7703457.581010543],[721274.3872228826,7703444.136515874],[721276.8566198616,7703445.645591806],[721311.0712384223,7703419.922192451],[721295.6004471336,7703397.043141318],[721293.6750211673,7703394.133608746],[721285.6486832021,7703408.325875214],[721279.268526818,7703419.607343787],[721274.3186285221,7703428.35981296],[721274.2605373254,7703428.448194566]]]},""inscricao_lote"":""01.01.0003.0367""}"
"CAD_Secao_Logradouro","tipo",NULL,"text",43,"{""id"":43,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721713.1703980024,7703894.786788297],[721698.2168273915,7703902.469356682],[721662.6849486,7703913.856020542],[721617.1382931608,7703929.221157317],[721573.5122798184,7703943.900350485]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Secao_Logradouro","secao_d",NULL,"integer",29,"{""id"":29,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721656.7172392278,7703752.2477069665],[721647.5255949072,7703775.706978292]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Edificacao","inscricao",".001","text",143,"{""id"":143,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721521.964709032,7703820.1961767515],[721521.964709032,7703834.342383572],[721524.7778751611,7703834.342383572],[721524.7778751611,7703836.673292651],[721531.0874049078,7703838.923825554],[721531.0874049078,7703835.628402375],[721532.1322951844,7703834.422759747],[721531.8911666591,7703825.340251959],[721530.3238689854,7703825.381861632],[721530.1873024538,7703820.237855616],[721521.964709032,7703820.1961767515]]]]},""inscricao"":"".001""}"
"CAD_Secao_Logradouro","codigo",NULL,"integer",3,"{""id"":3,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721411.5266972603,7703215.153863459],[721380.0418857442,7703241.837069733],[721366.803174148,7703252.469195626],[721360.1495211697,7703256.310479819],[721344.3042238707,7703261.455056865],[721335.661334435,7703263.032727159],[721324.3432649358,7703263.169915879],[721311.5847138639,7703260.357547094],[721298.8947571525,7703255.418753131],[721289.1543579472,7703250.548553528],[721277.9734771692,7703245.335382123],[721269.399182094,7703242.591607699],[721260.0017546916,7703241.288314847],[721246.1456938501,7703241.356909208],[721232.221038648,7703244.443655435],[721225.9103574727,7703247.393212941],[721217.6104398401,7703255.075781328]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Secao_Logradouro","tipo",NULL,"text",39,"{""id"":39,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721628.5935513811,7703786.956453433],[721666.5262327937,7703831.954353986],[721687.2417296952,7703864.330892189]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",9,"{""id"":9,""geom"":{""type"":""Point"",""coordinates"":[721333.03399301,7703596.449879559]},""distrito"":1,""setor"":1,""quadra"":4,""lote"":352,""unidade"":1,""inscricao"":""01.01.0004.0352.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
